,ID,location_name,lat,long
358,2353517,Yessebe,10.31667,-4.0166699999999995
359,2353518,Yerimbou,12.13606,1.4618200000000001
360,2353519,Yerimbandi,12.352219999999999,1.4026399999999999
361,2353520,Yerifoula,10.46667,-3.58333
362,2353521,Yeridyon,12.41667,-2.6833299999999998
363,2353522,Yeriba,11.46667,-0.6333300000000001
364,2353523,Yergue,14.08045,-2.19112
365,2353524,Yeregane,11.2,-3.05
366,2353525,Yerefoula Gans,10.45,-3.6166699999999996
367,2353526,Yerefe,11.33333,-3.03333
368,2353527,Yera,13.0089,-3.4421
369,2353528,Yepela,10.65,-3.01667
370,2353529,Yeou,13.8449,-0.58513
371,2353530,Yansa Gonion,13.58574,-2.9342200000000003
372,2353531,Yansa,13.601289999999999,-2.92804
373,2353532,Yenvedougou,12.93333,-3.9666699999999997
374,2353533,Yentyaori,13.02132,0.14237
375,2353534,Yentougoy Ekio,14.32613,0.1438
376,2353535,Yentenga,12.03333,-0.06667000000000001
377,2353536,Yensouti,13.3185,0.33545
378,2353537,Yensi,14.009910000000001,-2.84658
379,2353538,Yensendini,12.01667,0.2
380,2353539,Yenkui,12.46667,-3.85
381,2353540,Yengue,11.20779,-4.441319999999999
382,2353541,Yendipare,12.7012,2.0381
383,2353542,Yendibore,12.65668,1.97469
384,2353543,Foret Classee de Yendere,10.15,-5.066669999999999
385,2353544,Yendere,10.2,-4.96667
386,2353545,Yenbiro,10.18333,-3.43333
387,2353546,Yemsende,13.37566,-1.8678299999999999
388,2353547,Yembago,9.68333,-2.9333299999999998
389,2353548,Yelou,12.067219999999999,-1.72681
390,2353549,Yelmanarle,12.78333,-2.45
391,2353550,Yelkoto,13.32727,-1.71744
392,2353551,Yelintara,9.98333,-3.41667
393,2353552,Yelinfoybou,12.31667,0.6333300000000001
394,2353553,Yelimbiri,13.42105,0.44131000000000004
395,2353554,Yeli,12.6,-2.08333
396,2353555,Yelenbidou,12.81667,-0.21666999999999997
397,2353556,Yelembasse,12.35,-0.28333
398,2353557,Yelbissi,11.0,-0.76667
399,2353558,Yehon,11.3,-3.4
400,2353559,Yegueresso,11.155,-4.156219999999999
401,2353560,Yeguere,10.984060000000001,-4.1024199999999995
402,2353561,Yebel Bakolanga,14.0323,0.22534
403,2353562,Yebelala,10.73333,-3.21667
404,2353563,Yebande,14.3168,-0.1942
405,2353564,Yeairi,13.44161,-2.9597
406,2353565,Ye,12.6,-3.11667
407,2353566,Yazougou,13.33411,-0.09022999999999999
408,2353567,Yaya,12.71667,-2.78333
409,2353568,Province du Yatenga,13.583329999999998,-2.41667
410,2353569,Yate,14.170570000000001,-1.7085700000000001
411,2353570,Yatako,14.051429999999998,0.35711
412,2353571,Yasso,12.363380000000001,-4.02918
